# Station BA Log Data

code | ph_val | temperature | turb_ntu | dissolved_o2 | conductivity
WQS-BA-001 | 7.74 | 13.8 | 2.53 | 11.4 | 261
WQS-BA-002 | 7.82 | 14.5 | 2.81 | 10.5 | 299
WQS-BA-003 | 7.64 | 14.3 | 1.64 | 10.8 | 326
WQS-BA-004 | 7.76 | 16.5 | 1.77 | 10.1 | 317
WQS-BA-005 | 7.90 | 10.4 | 2.36 | 11.9 | 276
WQS-BA-006 | 7.62 | 12.6 | 2.11 | 11.3 | 286
WQS-BA-007 | 7.68 | 17.3 | 3.10 | 10.5 | 343
WQS-BA-008 | 7.63 | 15.0 | 2.29 | 11.3 | 322
WQS-BA-009 | 7.49 | 21.1 | 2.79 | 8.7 | 351
WQS-BA-010 | 7.83 | 11.0 | 2.51 | 12.0 | 306
WQS-BA-011 | 7.75 | 17.3 | 1.25 | 9.9 | 323
WQS-BA-012 | 7.78 | 12.3 | 2.05 | 11.5 | 293
WQS-BA-013 | 8.13 | 11.8 | 2.50 | 11.6 | 297
WQS-BA-014 | 7.69 | 13.4 | 1.89 | 11.4 | 323
WQS-BA-015 | 7.41 | 17.9 | 1.16 | 9.9 | 326
WQS-BA-016 | 7.57 | 13.1 | 2.55 | 11.3 | 272
WQS-BA-017 | 7.29 | 20.4 | 1.82 | 9.5 | 378
WQS-BA-018 | 7.34 | 21.3 | 1.57 | 8.9 | 364
WQS-BA-019 | 7.73 | 18.1 | 1.64 | 9.9 | 330
WQS-BA-020 | 7.44 | 17.2 | 2.67 | 10.0 | 349
