# Station BD Log Data

id | ph_val | temp | turbidity_ntu | do_mgl | electro_cond
WQS-BD-001 | 7.33 | 19.1 | 1.39 | 9.7 | 347
WQS-BD-002 | 7.97 | 11.3 | 2.92 | 11.5 | 284
WQS-BD-003 | 7.61 | 17.2 | 1.50 | 10.3 | 326
WQS-BD-004 | 7.76 | 13.3 | 2.10 | 10.9 | 303
WQS-BD-005 | 7.88 | 11.4 | 2.66 | 11.1 | 294
WQS-BD-006 | 7.68 | 15.3 | 1.59 | 10.5 | 326
WQS-BD-007 | 7.92 | 13.7 | 1.73 | 10.5 | 307
WQS-BD-008 | 7.70 | 18.8 | 3.34 | 10.1 | 347
WQS-BD-009 | 7.46 | 14.3 | 2.55 | 10.8 | 291
WQS-BD-010 | 7.05 | 22.3 | 1.19 | 8.5 | 358
WQS-BD-011 | 7.59 | 14.6 | 1.96 | 10.8 | 320
WQS-BD-012 | 7.34 | 20.4 | 1.33 | 9.2 | 353
WQS-BD-013 | 7.90 | 16.4 | 1.77 | 10.3 | 333
WQS-BD-014 | 7.97 | 13.9 | 1.91 | 10.8 | 307
WQS-BD-015 | 7.76 | 15.6 | 1.98 | 10.6 | 308
WQS-BD-016 | 7.25 | 18.7 | 2.01 | 9.2 | 309
WQS-BD-017 | 7.78 | 16.2 | 1.81 | 10.0 | 327
WQS-BD-018 | 7.47 | 13.4 | 2.80 | 10.9 | 295
WQS-BD-019 | 7.72 | 16.9 | 1.32 | 9.6 | 328
WQS-BD-020 | 7.26 | 16.5 | 1.38 | 10.8 | 342
