# Station BI Log Data

code ; acidity ; temperature ; turbidity_ntu ; do_mgl ; electrical_cond
WQS-BI-001 ; 7.44 ; 14.7 ; 1.56 ; 10.7 ; 318
WQS-BI-002 ; 7.42 ; 14.4 ; 1.66 ; 11.1 ; 329
WQS-BI-003 ; 7.56 ; 15.7 ; 2.27 ; 10.5 ; 306
WQS-BI-004 ; 7.44 ; 14.0 ; 1.82 ; 10.8 ; 305
WQS-BI-005 ; 7.33 ; 16.3 ; 2.40 ; 10.6 ; 336
WQS-BI-006 ; 7.54 ; 15.1 ; 2.29 ; 11.1 ; 307
WQS-BI-007 ; 7.81 ; 15.2 ; 1.90 ; 10.6 ; 307
WQS-BI-008 ; 7.60 ; 14.0 ; 1.98 ; 10.7 ; 311
WQS-BI-009 ; 7.57 ; 13.0 ; 3.81 ; 11.5 ; 293
WQS-BI-010 ; 7.66 ; 17.1 ; 1.52 ; 9.8 ; 331
WQS-BI-011 ; 7.51 ; 11.6 ; 2.20 ; 11.7 ; 289
WQS-BI-012 ; 7.36 ; 15.7 ; 1.93 ; 10.3 ; 328
WQS-BI-013 ; 7.50 ; 17.1 ; 1.61 ; 9.9 ; 326
WQS-BI-014 ; 7.35 ; 20.8 ; 1.32 ; 9.0 ; 382
WQS-BI-015 ; 7.64 ; 13.6 ; 1.63 ; 10.5 ; 314
WQS-BI-016 ; 7.55 ; 12.5 ; 3.15 ; 11.5 ; 291
WQS-BI-017 ; 7.28 ; 17.5 ; 1.43 ; 9.8 ; 321
WQS-BI-018 ; 7.41 ; 17.7 ; 1.72 ; 10.2 ; 330
WQS-BI-019 ; 7.90 ; 15.4 ; 1.79 ; 10.9 ; 326
WQS-BI-020 ; 7.46 ; 14.2 ; 3.19 ; 11.2 ; 275
