# Station L Log Data

sample_code	ph_level	temp_c	turbidity_ntu	do_mgl	cond_us
WQS-L-001	7.84	10.7	2.00	11.6	271
WQS-L-002	7.58	14.0	3.80	10.5	300
WQS-L-003	7.40	17.3	2.04	10.5	349
WQS-L-004	7.92	11.6	2.03	11.9	306
WQS-L-005	7.56	12.0	1.99	11.0	285
WQS-L-006	7.24	17.8	1.51	9.0	345
WQS-L-007	7.70	12.2	1.83	11.3	269
WQS-L-008	7.72	15.4	1.82	10.5	309
WQS-L-009	7.30	20.3	1.39	9.3	328
WQS-L-010	7.64	14.9	2.07	10.5	305
WQS-L-011	7.70	17.7	1.20	9.9	308
WQS-L-012	7.48	12.8	2.00	11.5	314
WQS-L-013	7.54	11.6	3.07	11.3	290
WQS-L-014	7.57	17.1	1.69	10.3	317
WQS-L-015	7.82	13.8	1.80	10.8	315
WQS-L-016	7.53	19.6	1.31	9.6	341
WQS-L-017	7.50	17.5	1.72	9.8	329
WQS-L-018	7.35	18.7	1.19	9.6	333
WQS-L-019	7.64	13.7	3.12	10.5	306
WQS-L-020	7.32	18.0	1.13	9.6	355
